sal_id,svc_id,org_id,org_name,service_name,location_name,category,what,eligibility,address_1,city,zip,lat,lon,phone,phone_label,phone2,phone2_label,phone2_source_url,website,availability,hours_text,flags,notice,status,checked_at_entry,entry_method,source_type,source_name,source_url,internal_note
sal_ywca_interim_house_line,,org_ywca_metro_detroit,YWCA Metropolitan Detroit,Interim House crisis line,,shelter.dv,24-hour crisis line and help making a safety plan. You do not have to be in danger right now to call.,,,,,,,313-861-5300,,,,,https://www.ywcadetroit.org,always,,,,active,2026-09-18,web,seed_list,YWCA Metropolitan Detroit website,https://www.ywcadetroit.org/get-help/domestic-violence-support-safety/,"[2026-09-19] source page could not be read (HTTP 403); check by eye. Site blocks scripted fetch (403). Phone, address and hours read on the live page in a browser on 2026-09-18."
sal_national_dv_hotline,,org_ndvh,National Domestic Violence Hotline,24-hour hotline,,shelter.dv,"Free, private help any time. Call, or text START to 88788.",,,,,,,1-800-799-7233,,,,,https://www.thehotline.org,always,,,,active,2026-09-18,auto_check,seed_list,National Domestic Violence Hotline website,https://www.thehotline.org/,
sal_covenant_house_detroit,,org_covenant_house_mi,Covenant House Michigan,Shelter and help for young adults,Covenant House Michigan,shelter.emergency,"Shelter and help for young people ages 18 to 24 in crisis. Open all day, every day.",Ages 18 to 24.,2959 Martin Luther King Jr Blvd,Detroit,48208,42.336450,-83.089371,(313) 305-0311,"Youth in crisis, weekdays 9am-5pm (CAM intake line)",(313) 463-2500,"Youth in crisis, nights and weekends",,https://covenanthousemi.org,always,,youth,,active,2026-09-19,auto_check,seed_list,Covenant House Michigan website,https://covenanthousemi.org/contact-us/,
sal_ruth_ellis_drop_in,,org_ruth_ellis,Ruth Ellis Center,Drop-in center,Ruth Ellis Center,youth,"Hot food, showers, laundry, clothes, and hygiene kits for LGBTQ+ young people.",Ages 13 to 30.,95 Victor St,Highland Park,48203,42.407545,-83.094256,313-252-1950,,,,,https://www.ruthelliscenter.org,scheduled,,"youth,lgbtq,walk_in",,active,2026-09-18,auto_check,seed_list,Ruth Ellis Center website,https://ruthelliscenter.org/what-we-do/health-equity-outreach/,
sal_national_runaway_safeline,,org_nrs,National Runaway Safeline,24-hour safeline,,youth,"Call, text, or chat any time if you ran away or are thinking about it.",,,,,,,1-800-786-2929,,,,,https://www.1800runaway.org,always,,youth,,active,2026-09-18,auto_check,seed_list,National Runaway Safeline website,https://www.1800runaway.org/,
sal_detroit_parks_adams_butzel_complex,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Adams Butzel Complex,Adams Butzel Complex,rec.center,"City recreation center with a pool, ice arena, gym, and weight room. Anyone can come in to cool off on hot days.","You need a membership for classes, the gym, and the pool. Ask at the front desk.",10500 Lyndon,Detroit,48238,42.395199,-83.163919,(313) 628-0990,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/adams-butzel-complex,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_community_center_at_ab_ford,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Community Center at AB Ford,Community Center at AB Ford,rec.center,City community center on the east riverfront. Anyone can come in to cool off on hot days.,You need a membership for classes and programs. Ask at the front desk.,100 Lenox,Detroit,48215,42.357578,-82.942853,(313) 628-1197,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/ABFord,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_butzel_family_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Butzel Family Center,Butzel Family Center,rec.center,City center with senior and youth services and help agencies on site. Anyone can come in to cool off on hot days.,You need a membership for classes and programs. Ask at the front desk.,7737 Kercheval,Detroit,48214,42.357475,-83.002487,(313) 628-2100,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/butzel-family-center,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_chandler_park_fieldhouse,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Chandler Park Fieldhouse,Chandler Park Fieldhouse,rec.center,"City fieldhouse with a gym, indoor track, and turf field. Anyone can come in to cool off on hot days.","You need a membership for classes, the gym, and the track. Ask at the front desk.",12300 Chandler Park Drive,Detroit,48213,42.394509,-82.977222,313-224-3663,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/chandler-park-fieldhouse,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_clemente_recreation_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Clemente Recreation Center,Clemente Recreation Center,rec.center,"City recreation center with a gym, weight room, computer lab, and lending library. Anyone can come in to cool off on hot days.",You need a membership for classes and the gym. Ask at the front desk.,2631 Bagley,Detroit,48216,42.325239,-83.078471,(313) 224-0228,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/clemente-center,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_coleman_a_young_community_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Coleman A. Young Community Center,Coleman A. Young Community Center,rec.center,"City recreation center with a pool, gym, weight room, and boxing. Anyone can come in to cool off on hot days.","You need a membership for classes, the gym, and the pool. Ask at the front desk.",2751 Robert Bradby Dr,Detroit,48207,42.345385,-83.024511,(313) 628-0995,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/coleman-young-community-center,[2026-09-19] source page could not be read (bot protection); check by eye. Coordinates from the City recreation centers layer (address match).
sal_detroit_parks_crowell_recreation_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Crowell Recreation Center,Crowell Recreation Center,rec.center,"City recreation center with a gym, weight room, boxing, and a walking path in the park. Anyone can come in to cool off on hot days.",You need a membership for classes and the gym. Ask at the front desk.,16630 Lahser,Detroit,48219,42.410837,-83.257204,(313) 628-2047,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/crowell-community-center,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_farwell_recreation_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Farwell Recreation Center,Farwell Recreation Center,rec.center,"City recreation center with a gym, weight room, arts and crafts, and dance. Anyone can come in to cool off on hot days.",You need a membership for classes and the gym. Ask at the front desk.,2781 E Outer Drive,Detroit,48234,42.440652,-83.058027,(313) 628-2028,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/farwell-recreation-center,"[2026-09-19] source page could not be read (bot protection); check by eye. Coordinates from the City recreation centers layer, which lists this building at 2711 E. Outer Dr.; the City page says 2781. Address shown follows the City page."
sal_detroit_parks_heilmann_recreation_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Heilmann Recreation Center,Heilmann Recreation Center,rec.center,"City recreation center with a pool, gym, and weight room, plus senior and youth programs. Anyone can come in to cool off on hot days.","You need a membership for classes, the gym, and the pool. Ask at the front desk.",19601 Brock Ave,Detroit,48205,42.440027,-82.963144,(313) 224-9334,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/heilmann-community-center,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_helen_moore_community_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Helen Moore Community Center,Helen Moore Community Center,rec.center,"City community center with a gym, weight room, reading room, and art room. Anyone can come in to cool off on hot days.",You need a membership for classes and the gym. Ask at the front desk.,11825 Dexter Ave,Detroit,48206,42.380429,-83.124686,313-224-9303,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/helen-moore-community-center-ed-davis-park,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_joseph_walker_williams_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Joseph Walker Williams Center,Joseph Walker Williams Center,rec.center,"City recreation center with swimming, dance, and boxing. Anyone can come in to cool off on hot days.",You need a membership for classes and the pool. Ask at the front desk.,8431 Rosa Parks Blvd,Detroit,48206,42.371088,-83.095885,(313) 628-2039,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/joseph-walker-williams-center,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_kemeny_recreation_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Kemeny Recreation Center,Kemeny Recreation Center,rec.center,"City recreation center with a gym, weight room, game room, and sports fields. Anyone can come in to cool off on hot days.",You need a membership for classes and the gym. Ask at the front desk.,2260 S Fort St,Detroit,48217,42.273491,-83.157997,(313) 628-2819,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/kemeny-recreation-center,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_lasky_recreation_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Lasky Recreation Center,Lasky Recreation Center,rec.center,"City recreation center with a gym, weight room, boxing, and a track. Anyone can come in to cool off on hot days.",You need a membership for classes and the gym. Ask at the front desk.,13200 Fenelon,Detroit,48212,42.414047,-83.052597,(313) 628-2030,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/lasky-recreation-center,[2026-09-19] source page could not be read (bot protection); check by eye.
sal_detroit_parks_northwest_activities_center,,org_detroit_parks_and_recreation,Detroit Parks and Recreation,Northwest Activities Center,Northwest Activities Center,rec.center,"City activities center with a pool, gym, and weight room. Anyone can come in to cool off on hot days.","You need a membership for classes, the gym, and the pool. Ask at the front desk.",18100 Meyers,Detroit,48235,42.422235,-83.170288,313-578-7500,,,,,https://detroitmi.gov/departments/detroit-parks-recreation,scheduled,,,,active,2026-09-18,auto_check,seed_list,Detroit Parks and Recreation website,https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/northwest-activities-center,[2026-09-19] source page could not be read (bot protection); check by eye.
