sal_id,freq,interval,byday,bymonthday,dtstart,until,valid_from,valid_to,opens_at,closes_at,description
sal_love_joy_food_pantry,WEEKLY,,SA,,2026-09-14,,,,12:30,13:30,
sal_muslim_family_food_pantry,WEEKLY,,"TU,TH",,2026-09-14,,,,10:00,15:00,
sal_calvary_presbyterian_food_pantry,WEEKLY,,SA,,2026-09-14,,,,10:00,12:30,
sal_pure_word_food_pantry_and_meals,WEEKLY,,WE,,2026-09-14,,,,10:00,13:00,
sal_pure_word_food_pantry_and_meals,WEEKLY,,FR,,2026-09-14,,,,10:00,12:00,
sal_conant_gardens_food_pantry,WEEKLY,,TU,,2026-09-14,,,,10:00,11:45,
sal_mt_vernon_food_pantry,WEEKLY,,TH,,2026-09-14,,,,14:00,17:00,
sal_kadesh_missionary_food_pantry,WEEKLY,,WE,,2026-09-14,,,,12:00,13:00,
sal_salvation_army_conner_creek_food_pantry,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,16:00,
sal_new_visions_food_pantry,WEEKLY,,SA,,2026-09-14,,,,10:00,12:45,
sal_our_lady_food_pantry,WEEKLY,,FR,,2026-09-14,,,,09:00,11:00,
sal_gospel_tabernacle_drive_up_food_pantry,MONTHLY,,"1SA,3SA",,2026-09-14,,,,12:00,14:00,1st and 3rd Saturday of the month
sal_word_in_food_pantry,MONTHLY,,3FR,,2026-09-14,,,,12:00,15:00,3rd Friday of the month
sal_caring_community_food_pantry,MONTHLY,,1SA,,2026-09-14,,,,10:00,13:00,1st Saturday of the month
sal_shrine_of_food_pantry,MONTHLY,,3SA,,2026-09-14,,,,11:00,13:00,3rd Saturday of the month
sal_new_hope_food_pantry,MONTHLY,,-1WE,,2026-09-14,,,,09:00,11:30,Last Wednesday of the month
sal_lomax_temple_food_pantry,MONTHLY,,"1TH,3TH",,2026-09-14,,,,11:00,12:00,1st and 3rd Thursday of the month
sal_community_services_food_pantry_and_meals,MONTHLY,,3TH,,2026-09-14,,,,10:00,14:00,3rd Thursday of the month
sal_dexter_avenue_food_pantry,MONTHLY,,2TH,,2026-09-14,,,,12:00,15:00,2nd Thursday of the month
sal_nazarene_community_drive_thru_produce,MONTHLY,,"1MO,2MO,3MO",,2026-09-14,,,,11:00,12:30,"1st, 2nd and 3rd Monday of the month"
sal_word_of_food_pantry,MONTHLY,,1SA,,2026-09-14,,,,10:00,13:00,1st Saturday of the month
sal_greater_northwest_food_pantry,MONTHLY,,2TH,,2026-09-14,,,,13:30,14:30,2nd Thursday of the month
sal_king_david_food_pantry,MONTHLY,,4WE,,2026-09-14,,,,12:00,14:00,4th Wednesday of the month
sal_the_open_food_pantry,MONTHLY,,1MO,,2026-09-14,,,,10:00,12:00,1st Monday of the month
sal_linwood_church_food_pantry,MONTHLY,,2SA,,2026-09-14,,,,12:00,14:00,2nd Saturday of the month
sal_metropolitan_baptist_food_pantry,MONTHLY,,3SA,,2026-09-14,,,,10:00,12:00,3rd Saturday of the month
sal_phg_urban_drive_thru_food,MONTHLY,,3SA,,2026-09-14,,,,10:00,11:30,3rd Saturday of the month
sal_in_the_food_pantry,MONTHLY,,"2FR,3FR,4FR,5FR",,2026-09-14,,,,15:30,16:30,Fridays except the 1st Friday of the month
sal_in_the_food_pantry,MONTHLY,,"2SA,3SA,4SA,5SA",,2026-09-14,,,,10:30,11:30,Saturdays except the 1st Saturday of the month
sal_first_baptist_food_pantry,MONTHLY,,1SA,,2026-09-14,,,,10:00,12:30,1st Saturday of the month
sal_community_services_food_pantry_and_meals,WEEKLY,,SA,,2026-09-14,,,,10:00,14:00,
sal_forgotten_harvest_mobile_food_pantry_at_triumph_church,MONTHLY,,"1FR,3FR",,2026-09-14,,,,09:00,12:00,1st and 3rd Friday of the month
sal_accounting_aid_free_tax_help_at_detroit_public_library_m,WEEKLY,,"MO,TH",,2026-09-14,,,2026-10-16,10:00,15:00,
sal_accounting_aid_free_tax_help_at_fisher_magnet_academy,WEEKLY,,"MO,WE",,2026-09-14,,,2026-10-16,09:00,15:00,
sal_accounting_aid_free_tax_help_at_la_sed_senior_and_youth_,WEEKLY,,"TU,TH",,2026-09-14,,,2026-10-16,09:00,15:00,
sal_accounting_aid_free_tax_help_at_northwest_financial_hub,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,2026-10-16,09:00,15:00,
sal_accounting_aid_free_tax_help_at_henry_ford_centennial_li,WEEKLY,,TH,,2026-09-14,,,2026-10-16,10:00,15:00,
sal_human_i_t_digital_empowerment_center_w_7_mile,WEEKLY,,"MO,TU,WE,TH,FR,SA",,2026-09-14,,,,10:00,19:00,
sal_detroit_public_main_library,WEEKLY,,MO,,2026-09-14,,,,10:00,18:00,
sal_detroit_public_main_library,WEEKLY,,"TU,WE",,2026-09-14,,,,12:00,20:00,
sal_detroit_public_main_library,WEEKLY,,"TH,FR,SA",,2026-09-14,,,,10:00,18:00,
sal_detroit_public_main_library,WEEKLY,,SU,,2026-09-14,,,,13:00,17:00,
sal_covenant_community_dentist_michigan_ave,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,16:00,
sal_covenant_community_dentist_moross,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,16:00,
sal_covenant_community_dentist_joy_road,WEEKLY,,MO,,2026-09-14,,,,08:00,16:30,
sal_covenant_community_dentist_joy_road,WEEKLY,,TU,,2026-09-14,,,,08:00,18:30,
sal_covenant_community_dentist_joy_road,WEEKLY,,"WE,TH",,2026-09-14,,,,08:00,16:30,
sal_covenant_community_dentist_joy_road,WEEKLY,,FR,,2026-09-14,,,,08:00,13:00,
sal_all_about_detroit_wellness_center,WEEKLY,,TH,,2026-09-14,,,,15:00,19:00,
sal_all_about_detroit_wellness_center,WEEKLY,,FR,,2026-09-14,,,,10:00,15:00,
sal_all_about_detroit_wellness_center,WEEKLY,,SA,,2026-09-14,,,,10:00,15:00,
sal_michigan_anti_cruelty_spay_and_neuter_clinic,WEEKLY,,"TU,WE,TH,FR",,2026-09-14,,,,08:30,15:30,
sal_michigan_legal_eviction_and_housing_lawyers_river_place,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_detroit_housing_commission_customer_service_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_city_of_hope_property_tax_exemption,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,08:00,16:30,
sal_city_of_critical_home_repair_and_leadsafe,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_city_of_home_rehabilitation_program_dearborn,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_city_of_poverty_tax_exemption_dearborn,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_semca_michigan_michigan_works_job_center_highland_park,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_michigan_unemployment_unemployment_office_detroit_in_per,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_u_s_department_va_veteran_readiness_and_employment_detro,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,16:00,
sal_the_senior_paid_job_training_for_adults_55_and_older_scs,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_enter_great_313_weekly_reentry_support_group,WEEKLY,,TU,,2026-09-14,,,,18:00,19:30,
sal_national_association_job_leads_and_help_with_forms,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,17:00,
sal_national_association_job_leads_and_help_with_forms,WEEKLY,,SA,,2026-09-14,,,,10:00,14:00,
sal_detroit_public_technology_literacy_and_career_tlc_center,WEEKLY,,MO,,2026-09-14,,,,10:00,18:00,
sal_detroit_public_technology_literacy_and_career_tlc_center,WEEKLY,,"TU,WE",,2026-09-14,,,,12:00,20:00,
sal_detroit_public_technology_literacy_and_career_tlc_center,WEEKLY,,"TH,FR,SA",,2026-09-14,,,,10:00,18:00,
sal_miside_adult_learning_lab_ged_reading_and_math,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,09:00,20:00,
sal_miside_adult_learning_lab_english_classes,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,09:00,20:00,
sal_all_saints_free_adult_tutoring_in_reading_writing_and_ma,WEEKLY,,"MO,TU",,2026-09-14,,,,09:00,17:00,
sal_all_saints_free_adult_tutoring_in_reading_writing_and_ma,WEEKLY,,WE,,2026-09-14,,,,09:00,20:00,
sal_all_saints_free_adult_tutoring_in_reading_writing_and_ma,WEEKLY,,"TH,FR",,2026-09-14,,,,09:00,17:00,
sal_all_saints_free_english_tutoring_for_adults,WEEKLY,,"MO,TU",,2026-09-14,,,,09:00,17:00,
sal_all_saints_free_english_tutoring_for_adults,WEEKLY,,WE,,2026-09-14,,,,09:00,20:00,
sal_all_saints_free_english_tutoring_for_adults,WEEKLY,,"TH,FR",,2026-09-14,,,,09:00,17:00,
sal_siena_literacy_free_reading_math_and_ged_help,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,10:00,20:00,
sal_siena_literacy_free_english_help_esl,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,10:00,20:00,
sal_dominican_literacy_free_ged_reading_and_math_help,WEEKLY,,MO,,2026-09-14,,,,08:00,20:00,
sal_dominican_literacy_free_ged_reading_and_math_help,WEEKLY,,TU,,2026-09-14,,,,08:00,18:00,
sal_dominican_literacy_free_ged_reading_and_math_help,WEEKLY,,WE,,2026-09-14,,,,08:00,20:00,
sal_dominican_literacy_free_ged_reading_and_math_help,WEEKLY,,TH,,2026-09-14,,,,08:00,18:00,
sal_dominican_literacy_free_ged_reading_and_math_help,WEEKLY,,FR,,2026-09-14,,,,09:00,14:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,MO,,2026-09-14,,,,08:00,20:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,TU,,2026-09-14,,,,08:00,18:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,WE,,2026-09-14,,,,08:00,20:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,TH,,2026-09-14,,,,08:00,18:00,
sal_dominican_literacy_free_english_help_esl,WEEKLY,,FR,,2026-09-14,,,,09:00,14:00,
sal_lakeshore_legal_dearborn_office,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,08:30,16:30,
sal_lakeshore_legal_free_legal_help_by_phone_call_line,WEEKLY,,"MO,TU,TH",,2026-09-14,,,,09:00,17:00,
sal_lakeshore_legal_free_legal_help_by_phone_call_line,WEEKLY,,WE,,2026-09-14,,,,09:00,18:00,
sal_lakeshore_legal_free_legal_help_by_phone_call_line,WEEKLY,,FR,,2026-09-14,,,,09:00,13:00,
sal_michigan_legal_36th_district_court_legal_self_help_cente,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,16:30,
sal_wayne_county_friend_of_the_court_customer_service,WEEKLY,,"MO,TU,TH",,2026-09-14,,,,08:30,16:30,
sal_detroit_health_detroit_id_health_department,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,17:00,
sal_detroit_health_detroit_id_patton_recreation_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,17:00,
sal_new_light_recovery_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,06:00,15:00,
sal_new_light_recovery_center,WEEKLY,,SA,,2026-09-14,,,,08:00,10:00,
sal_changing_lives_class_agency,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,17:00,
sal_pope_francis_center_day_center,WEEKLY,,"MO,TU,WE,TH,FR,SA",,2026-09-14,,,,07:00,11:00,
sal_united_community_eviction_defense_helpline,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_united_community_tax_foreclosure_helpline,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:30,16:30,
sal_city_of_dearborn_housing_commission,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_city_of_help_with_a_property_tax_bill_you_cannot_pay,WEEKLY,,MO,,2026-09-14,,,,08:00,16:00,
sal_city_of_help_with_a_property_tax_bill_you_cannot_pay,WEEKLY,,"WE,TH,FR",,2026-09-14,,,,08:00,16:00,
sal_city_of_help_with_a_property_tax_bill_you_cannot_pay,WEEKLY,,TU,,2026-09-14,,,,10:00,18:00,
sal_michigan_legal_court_self_help_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,12:00,
sal_michigan_legal_court_self_help_center,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,13:00,13:30,
sal_avalon_healing_wellness_clinic_care_after_an_assault,WEEKLY,,"MO,TU,WE,TH",,2026-09-14,,,,08:00,18:00,
sal_passenger_recovery_free_recovery_coaching_hamtramck_cent,WEEKLY,,"WE,TH,FR,SA",,2026-09-14,,,,12:00,20:00,
sal_passenger_recovery_free_recovery_coaching_hamtramck_cent,WEEKLY,,SU,,2026-09-14,,,,13:00,20:00,
sal_alternatives_for_crisis_resource_center_food_clothes_and,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,09:00,21:00,
sal_access_detroit_at_work_career_center_west_warren,WEEKLY,,"MO,TU,WE,TH,FR",,2026-09-14,,,,08:00,17:00,
sal_access_detroit_at_work_career_center_west_warren,WEEKLY,,TH,,2026-09-14,,,,17:00,19:00,
sal_concentra_downtown_detroit,WEEKLY,,MO,,2026-09-14,,,,07:00,18:00,
sal_concentra_downtown_detroit,WEEKLY,,TU,,2026-09-14,,,,07:00,18:00,
sal_concentra_downtown_detroit,WEEKLY,,WE,,2026-09-14,,,,07:00,18:00,
sal_concentra_downtown_detroit,WEEKLY,,TH,,2026-09-14,,,,07:00,18:00,
sal_concentra_downtown_detroit,WEEKLY,,FR,,2026-09-14,,,,07:00,18:00,
